Energy(KeV) X(cm) Y(cm) Z(cm) px py pz
50.4032 -0.106172 0.244975 0.565571 -29.4619 0.66049 40.8905
64.9817 -0.261169 -0.658821 0.692591 -34.2808 -37.3546 40.6458
49.5896 0.0774952 0.454641 0.536104 -1.95816 32.7074 37.2225
35.1254 0.0581606 0.23364 0.567164 -4.85151 -2.61995 34.6899
58.7259 0.165133 0.0553981 0.592214 -1.00938 -25.3023 52.9859
44.8675 -0.47821 0.628312 0.511696 -21.2237 31.8232 23.4507
40.8894 0.271834 0.228703 0.567858 18.4608 -2.79872 36.3773
59.2347 -0.182288 0.396797 0.544234 1.40522 44.8521 38.666
60.6235 0.354131 -0.490931 0.668996 15.7181 -48.9861 32.0704
48.6101 -0.781882 0.249565 0.564926 -41.0388 1.52151 26.0085
44.0145 -0.457754 -0.088 0.612368 -16.823 -1.02276 40.6597
